zip,primary_city,state,county,area_codes
41502,Pikeville,KY,Pike County,606
41503,South Williamson,KY,Pike County,606
41512,Ashcamp,KY,Pike County,606
41513,Belcher,KY,Pike County,606
41514,Belfry,KY,Pike County,606
41517,Burdine,KY,Letcher County,606
41519,Canada,KY,Pike County,606
41520,Dorton,KY,Pike County,606
41522,Elkhorn City,KY,Pike County,606
41524,Fedscreek,KY,Pike County,606
41526,Fords Branch,KY,Pike County,606
41527,Forest Hills,KY,Pike County,606
41528,Freeburn,KY,Pike County,606
41531,Hardy,KY,Pike County,606
41534,Hellier,KY,Pike County,606
41535,Huddy,KY,Pike County,606
41537,Jenkins,KY,Letcher County,606
41538,Jonancy,KY,Pike County,606
41539,Kimper,KY,Pike County,606
41540,Lick Creek,KY,Pike County,606
41542,Lookout,KY,Pike County,606
41543,Mc Andrews,KY,Pike County,606
41544,Mc Carr,KY,Pike County,606
41547,Majestic,KY,Pike County,606
41548,Mouthcard,KY,Pike County,606
41549,Myra,KY,Pike County,606
41553,Phelps,KY,Pike County,606
41554,Phyllis,KY,Pike County,606
41555,Pinsonfork,KY,Pike County,606
41557,Raccoon,KY,Pike County,606
41558,Ransom,KY,Pike County,606
41559,Regina,KY,Pike County,606
41560,Robinson Creek,KY,Pike County,606
41561,Rockhouse,KY,Pike County,606
41562,Shelbiana,KY,Pike County,606
41563,Shelby Gap,KY,Pike County,606
41564,Sidney,KY,Pike County,606
41566,Steele,KY,Pike County,606
41567,Stone,KY,Pike County,606
41568,Stopover,KY,Pike County,606
41571,Varney,KY,Pike County,606
41572,Virgie,KY,Pike County,606
41601,Allen,KY,Floyd County,606
41602,Auxier,KY,Floyd County,606
41603,Banner,KY,Floyd County,606
41604,Beaver,KY,Floyd County,606
41605,Betsy Layne,KY,Floyd County,606
41606,Bevinsville,KY,Floyd County,606
41607,Blue River,KY,Floyd County,606
41612,Bypro,KY,Floyd County,606
41615,Dana,KY,Floyd County,606
41616,David,KY,Floyd County,606
41619,Drift,KY,Floyd County,606
41621,Dwale,KY,Floyd County,606
41622,Eastern,KY,Floyd County,606
41630,Garrett,KY,Floyd County,606
41631,Grethel,KY,Floyd County,606
41632,Gunlock,KY,Magoffin County,606
41635,Harold,KY,Floyd County,606
41636,Hi Hat,KY,Floyd County,606
41640,Hueysville,KY,Floyd County,606
41642,Ivel,KY,Floyd County,606
41643,Lackey,KY,Knott County,606
41645,Langley,KY,Floyd County,606
